"","Extra_rs","Agree_rs","Cons_rs","Neur_rs","Open_rs","Extra_1","Agree_1","Cons_1","Neur_1","Open_1","Extra_2","Agree_2","Cons_2","Neur_2","Open_2","age","race","gender","income","edu","state","ideology","spending","reg_business","govrole_big","strong_gov","less_gov_better","trad_1_r","trad_2","trad_3_r","trad_4","Year","male","Open","Extra","Cons","Agree","Neur","traditionalism","Operational"
"18",3,4,4,4,4,3,4,2,5,5,5,3,4,4,4,4,1,2,NA,1,"AR",NA,NA,0.5,0,0,0,2,3,2,4,2012,NA,4.5,3,3,3.5,4.5,2.75,0.125
"19",5,7,5,5,6,1,1,2,2,3,3,3,3,3,2,7,6,2,7,1,"AR",3,NA,0,0,0,0,1,4,1,5,2012,NA,4.5,3,3.5,5,3.5,2.75,0
"20",6,2,3,4,6,5,6,6,5,5,2,6,5,4,2,3,1,1,9,3,"AR",6,0.666666666666667,0.75,1,1,1,4,1,1,3,2012,1,5.5,5.5,4.5,4,4.5,2.25,0.883333333333333
"21",4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,2,1,2,"AR",NA,NA,0.5,0,0,1,1,4,3,3,2012,NA,4,4,4,4,4,2.75,0.375
"22",5,3,4,3,5,5,5,7,4,5,3,6,4,5,3,3,1,1,11,2,"AR",3,0.666666666666667,0.75,1,0,0,3,4,3,5,2012,1,5,5,5.5,4.5,3.5,3.75,0.483333333333333
"23",6,4,3,5,2,4,4,5,4,6,2,5,5,3,6,13,1,1,13,1,"AR",5,0.666666666666667,0.5,0,1,1,5,5,4,5,2012,1,4,5,4,4.5,4.5,4.75,0.633333333333333
"24",2,4,6,2,4,4,4,6,1,4,6,6,2,6,4,8,1,1,9,3,"AR",6,0.833333333333333,0.5,1,1,1,5,5,5,5,2012,1,4,3,6,5,1.5,5,0.866666666666667
"25",1,4,2,1,7,6,4,4,4,6,7,6,6,7,1,13,1,2,NA,3,"AR",5,1,0.5,0,1,1,3,5,1,5,2012,NA,6.5,3.5,3,5,2.5,3.5,0.7
"26",4,4,6,4,4,4,4,6,5,5,4,5,2,4,4,9,1,1,14,1,"AR",NA,NA,0.75,1,0,0,2,4,3,4,2012,1,4.5,4,6,4.5,4.5,3.25,0.4375
"27",5,6,6,3,7,6,2,6,5,7,3,6,2,5,1,8,1,1,3,3,"CA",5,0.333333333333333,0.5,1,0,1,1,3,2,3,2012,1,7,5.5,6,6,4,2.25,0.566666666666667
"28",4,6,6,2,7,6,2,6,1,5,4,6,2,6,1,8,2,2,23,4,"CA",5,0.333333333333333,0.5,0,0,1,1,2,1,4,2012,NA,6,5,6,6,1.5,2,0.366666666666667
"29",4,4,7,4,4,4,4,6,4,5,4,4,1,4,4,5,3,2,18,3,"CA",4,0.5,0.25,0,0,0,2,4,2,3,2012,NA,4.5,4,6.5,4,4,2.75,0.15
"30",5,4,2,3,4,4,4,6,4,5,3,3,6,5,4,12,2,2,9,3,"CA",NA,0.166666666666667,0.5,0,0,0,1,3,1,5,2012,NA,4.5,4.5,4,3.5,3.5,2.5,0.133333333333333
"31",1,3,2,1,1,4,5,6,6,4,7,7,6,7,7,NA,5,2,NA,2,"CA",NA,NA,0.5,1,0,0,1,5,3,3,2012,NA,2.5,2.5,4,5,3.5,3,0.375
"32",2,5,2,1,6,4,3,5,4,6,6,7,6,7,2,8,5,1,15,2,"CA",NA,0.5,0.75,0,0,0,1,5,1,5,2012,1,6,3,3.5,6,2.5,3,0.25
"33",2,2,2,1,6,6,6,7,4,7,6,7,6,7,2,7,5,2,4,3,"CA",1,0,0.75,1,1,0,2,1,1,1,2012,NA,6.5,4,4.5,4.5,2.5,1.25,0.55
"34",7,4,4,3,4,5,4,7,4,5,1,5,4,5,4,4,5,2,13,3,"CA",NA,0.333333333333333,0,0,1,1,1,5,1,4,2012,NA,4.5,6,5.5,4.5,3.5,2.75,0.466666666666667
"35",2,6,5,6,6,5,2,6,7,7,6,6,3,2,2,1,5,2,4,1,"CA",NA,0.5,0.25,0,1,1,2,4,1,3,2012,NA,6.5,3.5,5.5,6,6.5,2.5,0.55
"36",2,1,3,5,5,5,7,6,6,3,6,5,5,3,3,5,5,2,11,3,"CA",NA,NA,0.5,0,0,0,3,3,1,2,2012,NA,4,3.5,4.5,3,5.5,2.25,0.125
"37",3,4,4,2,4,4,4,4,3,6,5,5,4,6,4,2,5,2,1,3,"CA",3,0.5,0.5,0,1,1,1,5,1,4,2012,NA,5,3.5,4,4.5,2.5,2.75,0.6
"38",6,5,5,3,6,5,3,5,2,6,2,5,3,5,2,6,6,2,26,4,"CA",5,0.666666666666667,0.75,1,1,1,4,4,3,4,2012,NA,6,5.5,5,5,2.5,3.75,0.883333333333333
"39",2,3,3,4,7,2,5,7,6,6,6,6,5,4,1,8,1,2,NA,4,"CA",3,0.666666666666667,0.5,1,1,NA,5,4,1,4,2012,NA,6.5,2,5,4.5,5,3.5,0.791666666666667
"40",5,5,7,1,6,6,3,6,2,6,3,6,1,7,2,4,5,2,23,4,"CA",4,0.166666666666667,0.5,0,0,0,1,4,3,4,2012,NA,6,5.5,6.5,5.5,1.5,3,0.133333333333333
"41",6,4,7,2,6,5,4,6,5,6,2,6,1,6,2,10,1,2,8,4,"CA",6,0.833333333333333,0.5,1,1,1,5,5,2,4,2012,NA,6,5.5,6.5,5,3.5,4,0.866666666666667
"42",6,6,7,6,5,6,2,7,4,6,2,1,1,2,3,4,1,2,22,2,"CA",6,0.666666666666667,0.5,1,1,1,5,3,3,2,2012,NA,5.5,6,7,3.5,5,3.25,0.833333333333333
"43",6,7,3,3,5,6,1,5,2,3,2,6,5,5,3,7,6,2,11,4,"CA",7,0.833333333333333,0.75,1,1,1,5,3,3,4,2012,NA,4,6,4,6.5,2.5,3.75,0.916666666666667
"44",5,7,3,2,3,6,1,3,1,5,3,6,5,6,5,4,1,2,26,4,"CA",5,0.666666666666667,0.5,1,0,1,5,5,5,5,2012,NA,4,5.5,3,6.5,1.5,5,0.633333333333333
"45",6,5,7,2,4,6,3,7,1,7,2,2,1,6,4,10,1,1,25,4,"CA",6,1,0.5,1,1,1,5,5,2,5,2012,1,5.5,6,7,3.5,1.5,4.25,0.9
"46",5,4,6,3,5,5,4,5,5,5,3,6,2,5,3,4,1,2,17,3,"CA",5,0.333333333333333,0.5,0,0,0,2,2,1,1,2012,NA,5,5,5.5,5,4,1.5,0.166666666666667
"47",3,6,6,2,5,6,2,6,4,6,5,6,2,6,3,10,6,2,19,3,"CA",6,1,0.75,1,1,1,4,5,2,5,2012,NA,5.5,4.5,6,6,3,4,0.95
"48",3,4,6,2,5,5,4,6,4,5,5,6,2,6,3,6,5,1,13,3,"CA",5,0.5,0.5,0,0,0,4,NA,2,5,2012,1,5,4,6,5,3,3.66666666666667,0.2
"49",5,3,4,3,3,5,5,6,4,4,3,6,4,5,5,6,1,1,NA,3,"CA",6,0.5,0.5,1,1,1,5,5,5,5,2012,1,3.5,5,5,4.5,3.5,5,0.8
"50",4,4,4,1,4,4,4,4,4,4,4,4,4,7,4,4,5,2,23,3,"CA",1,0.833333333333333,0.5,1,1,1,2,2,1,4,2012,NA,4,4,4,4,2.5,2.25,0.866666666666667
"51",5,3,7,2,7,5,5,6,4,5,3,7,1,6,1,4,1,2,18,3,"CA",NA,0.166666666666667,0.5,0,0,0,2,5,2,5,2012,NA,6,5,6.5,5,3,3.5,0.133333333333333
"52",7,3,7,4,6,5,5,7,5,6,1,2,1,4,2,7,6,1,NA,2,"CA",4,NA,0.5,1,1,1,2,2,2,5,2012,1,6,6,7,2.5,4.5,2.75,0.875
"53",5,5,1,7,6,1,3,3,3,3,3,3,7,1,2,4,5,1,17,1,"CA",2,0.5,0.75,0,0,1,1,5,4,5,2012,1,4.5,3,2,4,5,3.75,0.45
"54",3,7,7,1,5,7,1,7,1,6,5,6,1,7,3,8,5,2,11,2,"CA",5,0.666666666666667,0.5,0,0,1,2,5,1,4,2012,NA,5.5,5,7,6.5,1,3,0.433333333333333
"55",5,6,6,4,7,2,2,2,6,5,3,6,2,4,1,8,5,2,15,3,"CA",NA,0.833333333333333,0.25,1,1,1,2,4,1,5,2012,NA,6,3.5,4,6,5,3,0.816666666666667
"56",5,4,6,2,4,5,4,4,3,4,3,4,2,6,4,11,1,1,17,4,"CA",4,0.333333333333333,0.5,1,1,1,5,5,2,4,2012,1,4,5,5,4,2.5,4,0.766666666666667
"57",2,5,4,3,2,6,3,6,2,6,6,6,4,5,6,13,1,1,15,5,"CA",2,0.333333333333333,0.5,1,1,1,2,2,2,4,2012,1,4,4,5,5.5,2.5,2.5,0.766666666666667
"58",7,2,2,1,4,5,6,6,2,6,1,1,6,7,4,5,1,1,22,1,"CA",7,1,0.5,1,1,1,3,4,3,4,2012,1,5,6,4,1.5,1.5,3.5,0.9
"59",6,3,2,1,4,6,5,7,4,7,2,6,6,7,4,12,6,1,19,1,"CA",1,0,0,0,0,0,2,4,1,4,2012,1,5.5,6,4.5,4.5,2.5,2.75,0
"60",7,5,3,1,7,7,3,6,1,7,1,7,5,7,1,7,1,2,11,1,"CA",1,0,0,0,0,0,1,1,1,1,2012,NA,7,7,4.5,6,1,1,0
"61",2,3,6,2,3,4,5,7,2,6,6,6,2,6,5,7,1,2,18,4,"CA",6,0.666666666666667,0.5,0,0,0,4,1,4,2,2012,NA,4.5,3,6.5,4.5,2,2.75,0.233333333333333
"62",2,4,7,3,7,4,4,7,6,4,6,4,1,5,1,2,1,1,NA,3,"CA",4,0.5,0.75,1,1,1,1,1,2,3,2012,1,5.5,3,7,4,4.5,1.75,0.85
"63",5,4,7,1,7,6,4,6,1,6,3,5,1,7,1,1,6,2,9,2,"CA",NA,0.5,0.75,0,1,1,4,5,1,3,2012,NA,6.5,5.5,6.5,4.5,1,3.25,0.65
"64",4,5,3,3,3,3,3,5,3,5,4,6,5,5,5,13,1,2,NA,NA,"CA",2,0.333333333333333,0.5,0,0,0,2,3,1,4,2012,NA,4,3.5,4,5.5,3,2.5,0.166666666666667
"65",4,5,5,1,5,6,3,6,2,5,4,6,3,7,3,2,5,2,18,3,"CA",3,0.166666666666667,0.5,1,0,0,3,5,2,4,2012,NA,5,5,5.5,5.5,1.5,3.5,0.333333333333333
"66",4,4,4,2,4,5,4,4,5,4,4,4,4,6,4,1,5,1,7,2,"CA",NA,0.666666666666667,0.5,0,0,0,2,4,2,4,2012,1,4,4.5,4,4,3.5,3,0.233333333333333
"67",5,5,4,3,4,4,3,5,4,4,3,5,4,5,4,9,3,2,NA,3,"CA",6,0.333333333333333,0.5,0,0,1,4,2,1,2,2012,NA,4,4.5,4.5,5,3.5,2.25,0.366666666666667
"68",4,4,7,1,7,4,4,7,4,5,4,7,1,7,1,4,5,1,NA,3,"CA",4,0.5,0.25,1,0,0,2,4,2,5,2012,1,6,4,7,5.5,2.5,3.25,0.35
"69",3,5,4,2,6,5,3,6,2,6,5,6,4,6,2,7,5,1,9,2,"CA",4,0.333333333333333,0.5,0,0,0,2,3,3,5,2012,1,6,4,5,5.5,2,3.25,0.166666666666667
"70",2,4,7,1,4,2,4,7,4,3,6,3,1,7,4,2,1,1,NA,3,"CA",4,0.666666666666667,0.5,1,1,1,2,4,1,3,2012,1,3.5,2,7,3.5,2.5,2.5,0.833333333333333
"71",1,1,7,2,6,5,7,6,4,7,7,7,1,6,2,12,5,2,NA,1,"CA",NA,0,1,0,1,0,1,5,1,5,2012,NA,6.5,3,6.5,4,3,3,0.4
"72",4,6,6,2,4,6,2,6,3,5,4,6,2,6,4,6,1,2,21,3,"CA",5,0.833333333333333,0.5,1,0,1,5,2,2,3,2012,NA,4.5,5,6,6,2.5,3,0.666666666666667
"73",6,7,7,2,7,3,1,5,3,5,2,6,1,6,1,NA,5,2,NA,5,"CA",4,0.166666666666667,0.5,1,0,1,2,4,3,4,2012,NA,6,4.5,6,6.5,2.5,3.25,0.533333333333333
"74",4,6,6,2,6,6,2,6,2,5,4,6,2,6,2,8,1,2,21,3,"CA",5,0.333333333333333,0.25,1,0,1,5,5,3,5,2012,NA,5.5,5,6,6,2,4.5,0.516666666666667
"75",3,4,5,4,4,4,4,5,4,5,5,5,3,4,4,3,1,2,11,2,"CA",NA,0.833333333333333,0.5,0,0,0,3,3,2,4,2012,NA,4.5,3.5,5,4.5,4,3,0.266666666666667
"76",5,7,7,2,3,5,1,6,4,4,3,5,1,6,5,6,1,1,23,2,"CT",NA,NA,0.5,1,0,0,3,3,3,5,2012,1,3.5,5,6.5,6,3,3.5,0.375
"77",6,3,7,3,7,2,5,6,6,3,2,7,1,5,1,1,1,1,25,2,"CT",3,0.5,0.5,0,NA,0,5,4,4,4,2012,1,5,4,6.5,5,4.5,4.25,0.25
"78",5,6,1,3,6,6,2,5,4,6,3,6,7,5,2,9,5,1,26,4,"CT",2,0.166666666666667,0,0,0,0,1,3,2,3,2012,1,6,5.5,3,6,3.5,2.25,0.0333333333333333
"79",3,2,5,4,7,1,6,6,3,5,5,5,3,4,1,10,1,1,16,5,"CT",2,0.333333333333333,0.5,0,0,0,2,1,2,2,2012,1,6,2,5.5,3.5,3.5,1.75,0.166666666666667
"80",5,4,4,5,5,7,4,5,5,5,3,5,4,3,3,NA,4,1,23,2,"CT",4,0.5,0.5,1,1,NA,2,3,3,3,2012,1,5,6,4.5,4.5,5,2.75,0.75
"81",5,4,7,2,4,6,4,6,4,4,3,5,1,6,4,NA,1,2,NA,4,"CT",2,0,0.5,1,1,0,4,2,2,4,2012,NA,4,5.5,6.5,4.5,3,3,0.5
"82",2,6,6,2,6,4,2,6,2,6,6,6,2,6,2,NA,1,1,NA,4,"CT",3,0.5,0.5,0,0,1,4,2,2,5,2012,1,6,3,6,6,2,3.25,0.4
"83",4,5,6,2,7,4,3,7,4,5,4,6,2,6,1,2,2,2,NA,2,"DE",NA,NA,0.75,0,0,1,4,5,2,4,2012,NA,6,4,6.5,5.5,3,3.75,0.4375
"84",1,6,7,2,3,5,2,7,7,6,7,7,1,6,5,3,1,2,11,3,"DE",6,NA,0.5,0,0,0,2,4,3,5,2012,NA,4.5,3,7,6.5,4.5,3.5,0.125
"85",4,3,3,3,3,5,5,6,2,6,4,5,5,5,5,3,6,1,7,3,"DE",5,0.833333333333333,0.75,1,1,1,3,3,3,4,2012,1,4.5,4.5,4.5,4,2.5,3.25,0.916666666666667
"86",3,5,6,3,4,3,3,6,2,4,5,5,2,5,4,9,6,1,7,2,"DE",4,0.5,0.5,1,0,1,3,3,2,4,2012,1,4,3,6,5,2.5,3,0.6
"87",3,4,6,1,5,6,4,7,2,6,5,4,2,7,3,9,1,1,26,2,"DE",7,1,0.75,1,1,1,4,5,4,5,2012,1,5.5,4.5,6.5,4,1.5,4.5,0.95
"88",6,7,7,2,6,6,1,6,2,6,2,6,1,6,2,13,1,2,15,3,"DE",6,0.833333333333333,0.5,1,0,1,2,4,2,5,2012,NA,6,6,6.5,6.5,2,3.25,0.666666666666667
"89",2,6,7,3,7,5,2,6,5,5,6,6,1,5,1,4,1,1,12,1,"FL",5,0.5,0.75,0,0,0,2,5,3,4,2012,1,6,3.5,6.5,6,4,3.5,0.25
"90",3,5,5,2,6,4,3,5,2,7,5,6,3,6,2,3,2,1,NA,3,"FL",5,0.666666666666667,0.75,1,1,1,2,2,3,4,2012,1,6.5,3.5,5,5.5,2,2.75,0.883333333333333
"91",3,4,5,2,4,6,4,7,4,6,5,6,3,6,4,7,2,2,25,3,"FL",NA,0.333333333333333,0.5,1,0,0,1,5,5,2,2012,NA,5,4.5,6,5,3,3.25,0.366666666666667
"92",7,3,6,2,6,6,5,7,3,6,1,6,2,6,2,7,1,2,7,2,"FL",4,0.666666666666667,0.5,1,0,1,5,5,4,5,2012,NA,6,6.5,6.5,4.5,2.5,4.75,0.633333333333333
"93",3,4,6,3,4,6,4,7,5,6,5,6,2,5,4,6,1,2,NA,4,"FL",NA,NA,0.5,1,0,0,5,4,3,5,2012,NA,5,4.5,6.5,5,4,4.25,0.375
"94",1,4,6,5,6,4,4,7,4,3,7,6,2,3,2,8,6,1,10,3,"FL",NA,NA,NA,0,0,1,4,5,3,5,2012,1,4.5,2.5,6.5,5,4.5,4.25,0.333333333333333
"95",3,7,7,4,3,6,1,7,6,6,5,7,1,4,5,12,1,2,17,2,"FL",4,NA,0.5,0,0,0,4,5,1,5,2012,NA,4.5,4.5,7,7,5,3.75,0.125
"96",4,4,7,2,6,5,4,6,2,4,4,4,1,6,2,6,1,1,19,2,"FL",4,0.666666666666667,0.75,1,1,1,2,4,3,4,2012,1,5,4.5,6.5,4,2,3.25,0.883333333333333
"97",3,7,6,2,4,4,1,6,3,5,5,6,2,6,4,8,1,2,13,4,"FL",6,0.5,0.5,1,1,1,5,5,5,5,2012,NA,4.5,3.5,6,6.5,2.5,5,0.8
"98",4,7,6,1,4,5,1,7,2,6,4,5,2,7,4,5,1,2,13,3,"FL",5,0.5,0.5,1,0,0,4,5,3,5,2012,NA,5,4.5,6.5,6,1.5,4.25,0.4
"99",7,5,5,2,7,6,3,7,1,7,1,7,3,6,1,3,1,1,NA,2,"FL",NA,0.5,0.5,1,0,0,4,3,3,4,2012,1,7,6.5,6,6,1.5,3.5,0.4
"100",5,1,6,3,7,7,7,7,4,6,3,7,2,5,1,10,1,1,19,2,"FL",7,0.333333333333333,0.75,1,1,1,5,5,1,5,2012,1,6.5,6,6.5,4,3.5,4,0.816666666666667
"101",4,4,6,2,7,6,4,5,2,7,4,6,2,6,1,9,1,1,7,3,"FL",2,0.666666666666667,1,1,1,1,4,3,2,4,2012,1,7,5,5.5,5,2,3.25,0.933333333333333
"102",1,4,7,3,5,5,4,7,1,5,7,7,1,5,3,4,2,2,13,3,"FL",NA,0,0.25,0,0,0,2,3,2,4,2012,NA,5,3,7,5.5,2,2.75,0.05
"103",4,6,4,3,3,4,2,5,2,4,4,5,4,5,5,7,2,1,17,4,"FL",4,0.5,0.5,0,0,0,2,4,2,4,2012,1,3.5,4,4.5,5.5,2.5,3,0.2
"104",2,2,6,1,6,6,6,7,2,6,6,6,2,7,2,4,2,2,1,1,"FL",NA,NA,0.5,0,0,0,4,4,1,4,2012,NA,6,4,6.5,4,1.5,3.25,0.125
"105",3,4,4,2,2,4,4,5,3,3,5,6,4,6,6,6,2,2,12,3,"FL",NA,NA,0.5,0,0,0,2,2,2,4,2012,NA,2.5,3.5,4.5,5,2.5,2.5,0.125
"106",3,4,6,3,3,3,4,6,3,2,5,6,2,5,5,12,2,2,2,2,"FL",NA,0,0.5,1,0,1,2,4,1,4,2012,NA,2.5,3,6,5,3,2.75,0.5
"107",3,7,7,1,6,6,1,7,2,6,5,7,1,7,2,4,2,2,14,4,"FL",3,0.333333333333333,0.5,0,0,1,2,4,1,5,2012,NA,6,4.5,7,7,1.5,3,0.366666666666667
"108",6,7,7,1,6,6,1,7,2,7,2,6,1,7,2,12,5,1,9,5,"FL",6,0.666666666666667,0.5,1,1,1,2,5,2,5,2012,1,6.5,6,7,6.5,1.5,3.5,0.833333333333333
"109",2,5,6,2,3,5,3,6,5,4,6,6,2,6,5,4,1,2,23,4,"FL",3,0.5,0.5,1,0,1,2,1,2,1,2012,NA,3.5,3.5,6,5.5,3.5,1.5,0.6
"110",3,5,5,2,4,6,3,7,2,3,5,6,3,6,4,11,1,2,3,2,"FL",4,0.5,0.5,0,0,0,3,4,3,5,2012,NA,3.5,4.5,6,5.5,2,3.75,0.2
"111",7,3,7,1,7,5,5,6,2,6,1,6,1,7,1,8,1,1,15,2,"FL",7,1,0.75,1,1,1,1,3,4,5,2012,1,6.5,6,6.5,4.5,1.5,3.25,0.95
"112",2,3,2,2,2,5,5,6,6,6,6,6,6,6,6,3,1,1,7,NA,"FL",NA,NA,0,0,0,0,1,5,1,4,2012,1,4,3.5,4,4.5,4,2.75,0
"113",2,5,7,4,1,6,3,7,2,6,6,6,1,4,7,11,1,2,9,5,"FL",6,0.666666666666667,0.5,1,1,1,5,5,2,5,2012,NA,3.5,4,7,5.5,3,4.25,0.833333333333333
"114",3,4,7,3,5,4,4,6,4,4,5,5,1,5,3,13,1,1,17,3,"FL",NA,0.5,0.5,1,0,1,3,4,2,5,2012,1,4.5,3.5,6.5,4.5,3.5,3.5,0.6
"115",6,3,7,3,6,7,5,7,5,7,2,5,1,5,2,13,1,1,11,4,"FL",NA,0.333333333333333,0.25,0,0,0,2,2,2,4,2012,1,6.5,6.5,7,4,4,2.5,0.116666666666667
"116",2,3,7,3,6,6,5,7,3,6,6,6,1,5,2,10,1,1,15,2,"FL",2,0,0.75,0,1,1,5,5,5,5,2012,1,6,4,7,4.5,3,5,0.55
"117",3,4,6,6,6,4,4,4,3,5,5,5,2,2,2,12,1,1,7,2,"FL",7,0.833333333333333,1,1,1,1,2,5,2,5,2012,1,5.5,3.5,5,4.5,4.5,3.5,0.966666666666667
"118",2,6,6,2,6,5,2,6,2,5,6,6,2,6,2,8,1,2,3,3,"FL",5,0.333333333333333,0.5,1,0,0,2,3,4,4,2012,NA,5.5,3.5,6,6,2,3.25,0.366666666666667
"119",2,3,1,2,3,5,5,7,4,5,6,7,7,6,5,8,3,2,12,2,"FL",4,NA,0.5,0,0,0,2,3,2,5,2012,NA,4,3.5,4,5,3,3,0.125
"120",3,4,4,3,4,4,4,4,4,5,5,4,4,5,4,2,5,1,11,2,"FL",NA,0.166666666666667,0.5,0,0,0,2,3,2,3,2012,1,4.5,3.5,4,4,3.5,2.5,0.133333333333333
"121",6,6,3,3,7,4,2,4,5,5,2,6,5,5,1,4,1,2,NA,3,"FL",3,0.333333333333333,0.75,0,0,1,2,2,3,3,2012,NA,6,5,3.5,6,4,2.5,0.416666666666667
"122",2,6,3,2,2,5,2,5,5,6,6,6,5,6,6,13,1,1,20,5,"FL",2,0.5,0.5,0,0,0,3,2,2,5,2012,1,4,3.5,4,6,3.5,3,0.2
"123",5,6,7,2,5,6,2,6,3,5,3,6,1,6,3,6,1,2,17,3,"FL",3,0.333333333333333,0.5,0,0,0,2,2,1,2,2012,NA,5,5.5,6.5,6,2.5,1.75,0.166666666666667
"124",5,7,7,1,7,3,1,7,1,6,3,7,1,7,1,7,5,2,18,4,"FL",3,0.333333333333333,0.75,0,0,0,1,5,2,5,2012,NA,6.5,4,7,7,1,3.25,0.216666666666667
"125",3,3,7,4,7,4,5,7,5,4,5,7,1,4,1,1,3,2,14,3,"FL",4,0.5,0.5,0,0,0,1,4,1,5,2012,NA,5.5,3.5,7,5,4.5,2.75,0.2
"126",3,5,7,2,4,5,3,7,4,6,5,7,1,6,4,6,1,2,NA,4,"FL",4,0.5,0.5,0,0,0,2,3,1,3,2012,NA,5,4,7,6,3,2.25,0.2
"127",5,3,7,3,6,6,5,7,4,6,3,5,1,5,2,5,1,2,11,3,"FL",NA,0.333333333333333,0.5,NA,0,0,1,3,4,4,2012,NA,6,5.5,7,4,3.5,3,0.208333333333333
"128",5,6,4,2,6,6,2,6,2,6,3,6,4,6,2,13,1,2,9,2,"FL",7,0.666666666666667,0.5,1,1,1,4,5,4,5,2012,NA,6,5.5,5,6,2,4.5,0.833333333333333
"129",1,2,7,1,4,5,6,7,1,7,7,7,1,7,4,3,2,2,NA,1,"FL",NA,0,0,0,0,0,1,3,2,5,2012,NA,5.5,3,7,4.5,1,2.75,0
"130",2,6,6,2,6,6,2,7,2,6,6,6,2,6,2,6,2,2,12,3,"FL",2,0.333333333333333,0.5,0,0,0,3,3,2,4,2012,NA,6,4,6.5,6,2,3,0.166666666666667
"131",4,5,6,4,5,6,3,6,3,5,4,5,2,4,3,6,6,1,25,3,"GA",5,0.666666666666667,0.5,1,1,1,2,3,1,4,2012,1,5,5,6,5,3.5,2.5,0.833333333333333
"132",3,4,6,4,6,4,4,7,5,5,5,3,2,4,2,4,1,1,22,2,"GA",4,0.666666666666667,0.75,1,0,1,2,3,2,3,2012,1,5.5,3.5,6.5,3.5,4.5,2.5,0.683333333333333
