"","State","Rate","Year","state","abbr","p_non_white","ue_rate","div_rate","poverty_rate","giniE","p_urban","confed","male_under25","X","Extra_rs","Agree_rs","Cons_rs","Neur_rs","Open_rs","Extra_1","Agree_1","Cons_1","Neur_1","Open_1","Extra_2","Agree_2","Cons_2","Neur_2","Open_2","age","race","gender","income","edu","ideology","spending","reg_business","govrole_big","strong_gov","less_gov_better","trad_1_r","trad_2","trad_3_r","trad_4","male","Open","Extra","Cons","Agree","Neur","traditionalism","Operational"
"12","Alabama",449.9,2012,"AL","AL",0.308719390181258,0.0998437250550335,11.1786547432945,0.189625700396305,0.4726,0.590368170961744,1,0.147476919613182,469,3,7,7,1,7,7,1,7,1,7,5,7,1,7,1,4,2,1,3,3,NA,0.5,0,0,0,0,5,1,1,5,1,7,5,7,7,1,3,0.1
"13","Alabama",449.9,2012,"AL","AL",0.308719390181258,0.0998437250550335,11.1786547432945,0.189625700396305,0.4726,0.590368170961744,1,0.147476919613182,470,2,3,4,2,2,4,5,4,6,6,6,6,4,6,6,8,2,2,NA,1,NA,0.5,0,0,1,0,3,3,3,3,NA,4,3,4,4.5,4,3,0.3
"14","Alabama",449.9,2012,"AL","AL",0.308719390181258,0.0998437250550335,11.1786547432945,0.189625700396305,0.4726,0.590368170961744,1,0.147476919613182,471,3,6,4,4,4,7,2,6,4,6,5,6,4,4,4,8,2,2,1,3,NA,0.666666666666667,0.75,0,0,0,4,4,3,5,NA,5,5,5,6,4,4,0.283333333333333
"15","Alabama",449.9,2012,"AL","AL",0.308719390181258,0.0998437250550335,11.1786547432945,0.189625700396305,0.4726,0.590368170961744,1,0.147476919613182,1496,4,5,3,6,5,5,3,7,3,3,4,3,5,2,3,6,2,2,3,2,7,0,0.75,0,0,1,3,5,3,5,NA,4,4.5,5,4,4.5,4,0.35
"16","Alabama",449.9,2012,"AL","AL",0.308719390181258,0.0998437250550335,11.1786547432945,0.189625700396305,0.4726,0.590368170961744,1,0.147476919613182,1721,3,3,3,4,3,4,5,6,2,7,5,7,5,4,5,3,2,2,3,2,3,0.333333333333333,0.25,0,0,0,2,4,2,2,NA,5,3.5,4.5,5,3,2.5,0.116666666666667
"17","Alabama",449.9,2012,"AL","AL",0.308719390181258,0.0998437250550335,11.1786547432945,0.189625700396305,0.4726,0.590368170961744,1,0.147476919613182,1722,3,7,7,4,3,1,1,7,6,6,5,3,1,4,5,6,2,1,NA,1,7,NA,0,1,1,0,1,4,1,5,1,4.5,2,7,5,5,2.75,0.5
"18","Alabama",449.9,2012,"AL","AL",0.308719390181258,0.0998437250550335,11.1786547432945,0.189625700396305,0.4726,0.590368170961744,1,0.147476919613182,1723,5,5,2,2,2,3,3,2,3,3,3,4,6,6,6,8,2,1,NA,1,5,0.166666666666667,0,0,1,0,1,4,4,4,1,2.5,4,2,4.5,2.5,3.25,0.233333333333333
"19","Alabama",449.9,2012,"AL","AL",0.308719390181258,0.0998437250550335,11.1786547432945,0.189625700396305,0.4726,0.590368170961744,1,0.147476919613182,1954,3,3,3,3,3,5,5,5,5,5,5,5,5,5,5,9,1,2,4,4,6,0.666666666666667,0.5,0,0,0,4,4,4,4,NA,4,4,4,4,4,4,0.233333333333333
"20","Alabama",449.9,2012,"AL","AL",0.308719390181258,0.0998437250550335,11.1786547432945,0.189625700396305,0.4726,0.590368170961744,1,0.147476919613182,1984,5,3,7,2,4,6,5,7,5,5,3,5,1,6,4,8,1,1,15,3,7,1,0.5,1,1,1,5,5,4,4,1,4.5,5.5,7,4,3.5,4.5,0.9
"21","Alabama",449.9,2012,"AL","AL",0.308719390181258,0.0998437250550335,11.1786547432945,0.189625700396305,0.4726,0.590368170961744,1,0.147476919613182,1992,4,7,7,2,5,5,1,6,2,5,4,6,1,6,3,10,2,1,15,5,3,0.333333333333333,0,0,0,0,4,5,4,4,1,5,4.5,6.5,6.5,2,4.25,0.0666666666666667
"22","Alabama",449.9,2012,"AL","AL",0.308719390181258,0.0998437250550335,11.1786547432945,0.189625700396305,0.4726,0.590368170961744,1,0.147476919613182,2059,7,7,7,2,6,6,1,7,1,7,1,7,1,6,2,8,1,1,17,2,4,0.666666666666667,0.25,1,0,1,5,5,2,5,1,6.5,6.5,7,7,1.5,4.25,0.583333333333333
"23","Alabama",449.9,2012,"AL","AL",0.308719390181258,0.0998437250550335,11.1786547432945,0.189625700396305,0.4726,0.590368170961744,1,0.147476919613182,2111,2,6,6,2,5,5,2,6,2,6,6,4,2,6,3,13,1,2,NA,4,3,0.833333333333333,0.75,1,1,1,4,3,3,2,NA,5.5,3.5,6,5,2,3,0.916666666666667
"24","Alabama",449.9,2012,"AL","AL",0.308719390181258,0.0998437250550335,11.1786547432945,0.189625700396305,0.4726,0.590368170961744,1,0.147476919613182,2295,4,3,6,6,5,2,5,4,5,6,4,4,2,2,3,11,1,1,17,3,4,0.666666666666667,0.5,1,1,1,2,3,2,4,1,5.5,3,5,3.5,5.5,2.75,0.833333333333333
"25","Alabama",449.9,2012,"AL","AL",0.308719390181258,0.0998437250550335,11.1786547432945,0.189625700396305,0.4726,0.590368170961744,1,0.147476919613182,2298,7,4,4,7,7,6,4,7,4,6,1,5,4,1,1,9,1,2,1,1,6,0.666666666666667,0.5,1,0,1,5,5,5,5,NA,6.5,6.5,5.5,4.5,5.5,5,0.633333333333333
"26","Alabama",449.9,2012,"AL","AL",0.308719390181258,0.0998437250550335,11.1786547432945,0.189625700396305,0.4726,0.590368170961744,1,0.147476919613182,2636,6,3,7,4,4,5,5,5,4,6,2,5,1,4,4,9,1,2,27,4,1,0.166666666666667,0.5,0,0,0,1,1,1,1,NA,5,5.5,6,4,4,1,0.133333333333333
"27","Alabama",449.9,2012,"AL","AL",0.308719390181258,0.0998437250550335,11.1786547432945,0.189625700396305,0.4726,0.590368170961744,1,0.147476919613182,2656,2,7,7,1,5,1,1,7,2,6,6,6,1,7,3,8,1,1,27,5,4,0.5,0.5,0,0,0,5,4,4,5,1,5.5,1.5,7,6.5,1.5,4.5,0.2
"28","Alabama",449.9,2012,"AL","AL",0.308719390181258,0.0998437250550335,11.1786547432945,0.189625700396305,0.4726,0.590368170961744,1,0.147476919613182,2869,5,7,6,2,4,6,1,5,2,4,3,5,2,6,4,7,5,2,NA,NA,7,1,0.75,1,1,1,5,4,5,5,NA,4,5.5,5.5,6,2,4.75,0.95
"29","Alabama",449.9,2012,"AL","AL",0.308719390181258,0.0998437250550335,11.1786547432945,0.189625700396305,0.4726,0.590368170961744,1,0.147476919613182,2880,3,4,5,3,4,4,4,5,3,4,5,4,3,5,4,4,1,1,11,3,4,0.666666666666667,0.75,1,1,1,3,4,2,4,1,4,3.5,5,4,3,3.25,0.883333333333333
"30","Alabama",449.9,2012,"AL","AL",0.308719390181258,0.0998437250550335,11.1786547432945,0.189625700396305,0.4726,0.590368170961744,1,0.147476919613182,3022,1,3,7,1,6,5,5,7,2,5,7,7,1,7,2,10,2,2,11,4,4,0.5,0.75,0,0,1,4,3,1,4,NA,5.5,3,7,5,1.5,3,0.45
"31","Alabama",449.9,2012,"AL","AL",0.308719390181258,0.0998437250550335,11.1786547432945,0.189625700396305,0.4726,0.590368170961744,1,0.147476919613182,3048,4,5,7,1,6,7,3,7,5,3,4,7,1,7,2,9,1,2,10,2,4,0,0.75,1,0,0,5,5,5,5,NA,4.5,5.5,7,6,3,5,0.35
"32","Alabama",449.9,2012,"AL","AL",0.308719390181258,0.0998437250550335,11.1786547432945,0.189625700396305,0.4726,0.590368170961744,1,0.147476919613182,3098,2,6,7,1,3,6,2,7,1,3,6,6,1,7,5,9,2,1,NA,3,4,0.5,0.5,0,0,0,4,4,2,4,1,3,4,7,6,1,3.5,0.2
"33","Alabama",449.9,2012,"AL","AL",0.308719390181258,0.0998437250550335,11.1786547432945,0.189625700396305,0.4726,0.590368170961744,1,0.147476919613182,3100,2,6,5,3,4,4,2,6,2,4,6,5,3,5,4,12,1,1,21,4,4,0.666666666666667,0.5,1,1,1,5,5,3,5,1,4,3,5.5,5.5,2.5,4.5,0.833333333333333
"34","Alabama",449.9,2012,"AL","AL",0.308719390181258,0.0998437250550335,11.1786547432945,0.189625700396305,0.4726,0.590368170961744,1,0.147476919613182,3110,3,7,5,3,2,2,1,6,3,6,5,6,3,5,6,9,2,1,6,1,5,0.333333333333333,0.5,1,0,0,1,5,2,5,1,4,2.5,5.5,6.5,3,3.25,0.366666666666667
"35","Alabama",449.9,2012,"AL","AL",0.308719390181258,0.0998437250550335,11.1786547432945,0.189625700396305,0.4726,0.590368170961744,1,0.147476919613182,3386,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,9,2,2,17,4,4,0.166666666666667,0.5,1,0,1,3,3,3,3,NA,4,4,4,4,4,3,0.533333333333333
"36","Alabama",449.9,2012,"AL","AL",0.308719390181258,0.0998437250550335,11.1786547432945,0.189625700396305,0.4726,0.590368170961744,1,0.147476919613182,3475,6,5,7,4,5,5,3,4,4,5,2,5,1,4,3,5,1,2,27,3,1,0.166666666666667,0.5,0,0,0,2,1,2,2,NA,5,5.5,5.5,5,4,1.75,0.133333333333333
"37","Alabama",449.9,2012,"AL","AL",0.308719390181258,0.0998437250550335,11.1786547432945,0.189625700396305,0.4726,0.590368170961744,1,0.147476919613182,3524,2,4,3,3,2,4,4,5,4,4,6,7,5,5,6,11,2,2,6,2,4,NA,0.5,0,0,0,3,4,3,4,NA,3,3,4,5.5,3.5,3.5,0.125
"38","Alabama",449.9,2012,"AL","AL",0.308719390181258,0.0998437250550335,11.1786547432945,0.189625700396305,0.4726,0.590368170961744,1,0.147476919613182,3533,2,6,7,2,7,6,2,6,2,7,6,6,1,6,1,4,2,2,4,3,4,0.5,0.5,0,1,1,4,4,2,3,NA,7,4,6.5,6,2,3.25,0.6
"39","Alabama",449.9,2012,"AL","AL",0.308719390181258,0.0998437250550335,11.1786547432945,0.189625700396305,0.4726,0.590368170961744,1,0.147476919613182,3536,5,5,6,2,5,7,3,6,4,6,3,6,2,6,3,8,2,1,16,5,4,0.666666666666667,0.25,0,0,1,5,4,4,5,1,5.5,6,6,5.5,3,4.5,0.383333333333333
"40","Alabama",449.9,2012,"AL","AL",0.308719390181258,0.0998437250550335,11.1786547432945,0.189625700396305,0.4726,0.590368170961744,1,0.147476919613182,3610,2,6,5,3,4,5,2,5,5,2,6,5,3,5,4,7,1,2,20,NA,6,0.833333333333333,0.75,1,1,1,5,5,5,5,NA,3,3.5,5,5.5,4,5,0.916666666666667
"41","Alabama",449.9,2012,"AL","AL",0.308719390181258,0.0998437250550335,11.1786547432945,0.189625700396305,0.4726,0.590368170961744,1,0.147476919613182,3682,5,2,2,6,7,3,6,5,7,7,3,6,6,2,1,2,1,2,6,4,2,0.333333333333333,0.5,0,0,0,2,1,1,1,NA,7,4,3.5,4,6.5,1.25,0.166666666666667
"42","Alabama",449.9,2012,"AL","AL",0.308719390181258,0.0998437250550335,11.1786547432945,0.189625700396305,0.4726,0.590368170961744,1,0.147476919613182,3735,1,6,4,1,2,4,2,7,4,7,7,7,4,7,6,12,2,2,1,4,2,0.333333333333333,0.25,0,0,0,5,5,2,5,NA,4.5,2.5,5.5,6.5,2.5,4.25,0.116666666666667
"43","Alabama",449.9,2012,"AL","AL",0.308719390181258,0.0998437250550335,11.1786547432945,0.189625700396305,0.4726,0.590368170961744,1,0.147476919613182,3756,4,6,6,1,7,3,2,5,1,6,4,5,2,7,1,9,2,1,16,3,2,0.166666666666667,0,0,0,0,4,4,4,5,1,6.5,3.5,5.5,5.5,1,4.25,0.0333333333333333
"44","Alabama",449.9,2012,"AL","AL",0.308719390181258,0.0998437250550335,11.1786547432945,0.189625700396305,0.4726,0.590368170961744,1,0.147476919613182,3780,2,5,6,5,7,4,3,5,3,4,6,6,2,3,1,8,1,2,NA,NA,4,0,0.5,0,0,0,2,2,2,4,NA,5.5,3,5.5,5.5,4,2.5,0.1
"45","Alabama",449.9,2012,"AL","AL",0.308719390181258,0.0998437250550335,11.1786547432945,0.189625700396305,0.4726,0.590368170961744,1,0.147476919613182,3832,2,7,7,2,6,1,1,6,2,4,6,6,1,6,2,6,1,2,21,2,5,0.5,0.5,0,0,0,4,4,2,4,NA,5,1.5,6.5,6.5,2,3.5,0.2
"46","Alabama",449.9,2012,"AL","AL",0.308719390181258,0.0998437250550335,11.1786547432945,0.189625700396305,0.4726,0.590368170961744,1,0.147476919613182,3839,2,6,7,2,6,2,2,6,3,3,6,6,1,6,2,2,1,1,1,3,5,0.833333333333333,0.5,1,1,1,4,4,4,4,1,4.5,2,6.5,6,2.5,4,0.866666666666667
"47","Alabama",449.9,2012,"AL","AL",0.308719390181258,0.0998437250550335,11.1786547432945,0.189625700396305,0.4726,0.590368170961744,1,0.147476919613182,3856,2,2,2,2,2,6,6,6,6,6,6,6,6,6,6,9,2,2,14,3,5,0,0,1,0,0,2,4,2,4,NA,4,4,4,4,4,3,0.2
"48","Alabama",449.9,2012,"AL","AL",0.308719390181258,0.0998437250550335,11.1786547432945,0.189625700396305,0.4726,0.590368170961744,1,0.147476919613182,3935,3,7,7,3,7,6,1,4,2,7,5,6,1,5,1,5,2,2,11,3,4,0.333333333333333,0.5,0,0,0,4,4,2,5,NA,7,4.5,5.5,6.5,2.5,3.75,0.166666666666667
"49","Alabama",449.9,2012,"AL","AL",0.308719390181258,0.0998437250550335,11.1786547432945,0.189625700396305,0.4726,0.590368170961744,1,0.147476919613182,3996,2,4,6,2,5,6,4,7,4,6,6,5,2,6,3,7,2,1,1,2,5,NA,0,0,0,0,2,3,1,4,1,5.5,4,6.5,4.5,3,2.5,0
"50","Alabama",449.9,2012,"AL","AL",0.308719390181258,0.0998437250550335,11.1786547432945,0.189625700396305,0.4726,0.590368170961744,1,0.147476919613182,4004,4,5,4,4,4,4,3,3,4,4,4,4,4,4,4,4,2,1,10,1,4,0.5,0.5,1,0,0,1,4,1,5,1,4,4,3.5,4.5,4,2.75,0.4
"51","Alabama",449.9,2012,"AL","AL",0.308719390181258,0.0998437250550335,11.1786547432945,0.189625700396305,0.4726,0.590368170961744,1,0.147476919613182,4031,1,6,7,4,2,1,2,7,3,5,7,5,1,4,6,7,1,2,12,3,6,0.666666666666667,0.5,1,1,1,5,5,2,5,NA,3.5,1,7,5.5,3.5,4.25,0.833333333333333
"52","Alabama",449.9,2012,"AL","AL",0.308719390181258,0.0998437250550335,11.1786547432945,0.189625700396305,0.4726,0.590368170961744,1,0.147476919613182,4073,2,2,7,2,6,7,6,6,5,6,6,6,1,6,2,7,2,1,12,5,3,0,0.5,0,0,0,2,1,1,4,1,6,4.5,6.5,4,3.5,2,0.1
"53","Alabama",449.9,2012,"AL","AL",0.308719390181258,0.0998437250550335,11.1786547432945,0.189625700396305,0.4726,0.590368170961744,1,0.147476919613182,4261,1,4,4,2,5,4,4,6,4,6,7,6,4,6,3,13,1,2,19,2,5,NA,0.5,1,0,0,2,4,1,4,NA,5.5,2.5,5,5,3,2.75,0.375
"54","Alabama",449.9,2012,"AL","AL",0.308719390181258,0.0998437250550335,11.1786547432945,0.189625700396305,0.4726,0.590368170961744,1,0.147476919613182,4296,4,4,6,4,5,4,4,6,4,4,4,6,2,4,3,4,1,2,3,2,4,NA,0.5,1,0,0,1,3,3,4,NA,4.5,4,6,5,4,2.75,0.375
"55","Alabama",449.9,2012,"AL","AL",0.308719390181258,0.0998437250550335,11.1786547432945,0.189625700396305,0.4726,0.590368170961744,1,0.147476919613182,4320,2,6,6,6,6,3,2,7,6,6,6,7,2,2,2,5,1,2,8,2,5,0.833333333333333,0.5,1,0,0,2,5,4,4,NA,6,2.5,6.5,6.5,6,3.75,0.466666666666667
"56","Alabama",449.9,2012,"AL","AL",0.308719390181258,0.0998437250550335,11.1786547432945,0.189625700396305,0.4726,0.590368170961744,1,0.147476919613182,4408,5,3,3,6,5,4,5,3,5,5,3,5,5,2,3,2,5,1,14,2,7,1,0.75,1,1,1,1,5,4,5,1,5,4.5,3,4,5.5,3.75,0.95
"57","Alabama",449.9,2012,"AL","AL",0.308719390181258,0.0998437250550335,11.1786547432945,0.189625700396305,0.4726,0.590368170961744,1,0.147476919613182,4471,3,3,6,2,3,4,5,6,4,5,5,5,2,6,5,10,1,1,19,2,5,0.666666666666667,0.5,0,1,1,2,4,2,4,1,4,3.5,6,4,3,3,0.633333333333333
"58","Alabama",449.9,2012,"AL","AL",0.308719390181258,0.0998437250550335,11.1786547432945,0.189625700396305,0.4726,0.590368170961744,1,0.147476919613182,4499,1,7,6,3,3,2,1,6,6,5,7,5,2,5,5,11,1,2,NA,2,6,0.666666666666667,0.75,1,1,1,5,5,3,5,NA,4,1.5,6,6,4.5,4.5,0.883333333333333
"59","Alabama",449.9,2012,"AL","AL",0.308719390181258,0.0998437250550335,11.1786547432945,0.189625700396305,0.4726,0.590368170961744,1,0.147476919613182,4501,2,7,6,2,6,5,1,7,2,5,6,7,2,6,2,10,2,2,NA,3,4,0.5,0.25,0,0,0,5,4,5,4,NA,5.5,3.5,6.5,7,2,4.5,0.15
"60","Alabama",449.9,2012,"AL","AL",0.308719390181258,0.0998437250550335,11.1786547432945,0.189625700396305,0.4726,0.590368170961744,1,0.147476919613182,4509,5,7,6,2,4,6,1,7,1,5,3,6,2,6,4,3,1,1,14,2,7,0.833333333333333,0.75,1,1,1,4,4,4,5,1,4.5,5.5,6.5,6.5,1.5,4.25,0.916666666666667
"61","Alabama",449.9,2012,"AL","AL",0.308719390181258,0.0998437250550335,11.1786547432945,0.189625700396305,0.4726,0.590368170961744,1,0.147476919613182,4608,5,3,7,2,7,5,5,6,3,5,3,6,1,6,1,5,2,1,19,5,4,0.5,0.75,1,0,0,4,4,2,3,1,6,5,6.5,4.5,2.5,3.25,0.45
"62","Alabama",449.9,2012,"AL","AL",0.308719390181258,0.0998437250550335,11.1786547432945,0.189625700396305,0.4726,0.590368170961744,1,0.147476919613182,4610,7,5,2,7,3,3,3,6,6,5,1,4,6,1,5,11,2,1,19,3,6,0.666666666666667,0.5,0,0,0,5,3,1,4,1,4,5,4,4.5,6.5,3.25,0.233333333333333
"63","Alabama",449.9,2012,"AL","AL",0.308719390181258,0.0998437250550335,11.1786547432945,0.189625700396305,0.4726,0.590368170961744,1,0.147476919613182,4673,2,4,6,3,6,2,4,6,3,5,6,4,2,5,2,10,1,2,22,3,2,0.333333333333333,0.25,0,0,0,2,1,1,2,NA,5.5,2,6,4,3,1.5,0.116666666666667
"64","Alabama",449.9,2012,"AL","AL",0.308719390181258,0.0998437250550335,11.1786547432945,0.189625700396305,0.4726,0.590368170961744,1,0.147476919613182,4803,2,6,7,2,6,4,2,6,2,6,6,5,1,6,2,6,1,1,1,3,6,0.833333333333333,0.75,1,1,1,5,5,3,5,1,6,3,6.5,5.5,2,4.5,0.916666666666667
"65","Alabama",449.9,2012,"AL","AL",0.308719390181258,0.0998437250550335,11.1786547432945,0.189625700396305,0.4726,0.590368170961744,1,0.147476919613182,4816,3,6,6,2,6,6,2,7,2,6,5,5,2,6,2,7,5,1,25,4,1,0.166666666666667,0.25,1,0,0,1,1,1,2,1,6,4.5,6.5,5.5,2,1.25,0.283333333333333
"66","Alabama",449.9,2012,"AL","AL",0.308719390181258,0.0998437250550335,11.1786547432945,0.189625700396305,0.4726,0.590368170961744,1,0.147476919613182,4926,4,4,2,3,6,6,4,6,3,7,4,6,6,5,2,11,1,1,24,5,5,0,0.5,0,0,0,3,1,2,1,1,6.5,5,4,5,3,1.75,0.1
"67","Alabama",449.9,2012,"AL","AL",0.308719390181258,0.0998437250550335,11.1786547432945,0.189625700396305,0.4726,0.590368170961744,1,0.147476919613182,4932,4,7,7,2,5,4,1,6,2,7,4,5,1,6,3,10,2,1,8,3,2,0.333333333333333,0.5,1,0,0,2,4,1,2,1,6,4,6.5,6,2,2.25,0.366666666666667
"68","Alabama",449.9,2012,"AL","AL",0.308719390181258,0.0998437250550335,11.1786547432945,0.189625700396305,0.4726,0.590368170961744,1,0.147476919613182,4935,2,3,2,3,3,6,5,5,3,5,6,5,6,5,5,7,2,2,1,2,7,0.833333333333333,0.75,0,0,1,1,2,4,1,NA,4,4,3.5,4,3,2,0.516666666666667
"69","Alabama",449.9,2012,"AL","AL",0.308719390181258,0.0998437250550335,11.1786547432945,0.189625700396305,0.4726,0.590368170961744,1,0.147476919613182,4961,3,6,6,3,4,5,2,6,4,3,5,6,2,5,4,5,1,1,23,4,6,1,0.75,1,1,1,5,4,5,3,1,3.5,4,6,6,3.5,4.25,0.95
"70","Alabama",449.9,2012,"AL","AL",0.308719390181258,0.0998437250550335,11.1786547432945,0.189625700396305,0.4726,0.590368170961744,1,0.147476919613182,5120,5,3,6,2,4,6,5,6,3,4,3,5,2,6,4,4,1,1,21,3,5,0.666666666666667,0.5,1,1,1,5,5,4,5,1,4,5.5,6,4,2.5,4.75,0.833333333333333
"71","Alabama",449.9,2012,"AL","AL",0.308719390181258,0.0998437250550335,11.1786547432945,0.189625700396305,0.4726,0.590368170961744,1,0.147476919613182,5133,2,7,6,2,6,4,1,6,4,4,6,7,2,6,2,4,1,1,19,4,5,0.5,0.75,1,1,1,5,1,1,3,1,5,3,6,7,3,2.5,0.85
"72","Alabama",449.9,2012,"AL","AL",0.308719390181258,0.0998437250550335,11.1786547432945,0.189625700396305,0.4726,0.590368170961744,1,0.147476919613182,5264,2,4,7,2,7,4,4,6,4,5,6,6,1,6,1,9,2,1,9,2,6,0.333333333333333,0.5,0,0,0,2,4,3,3,1,6,3,6.5,5,3,3,0.166666666666667
"73","Alabama",449.9,2012,"AL","AL",0.308719390181258,0.0998437250550335,11.1786547432945,0.189625700396305,0.4726,0.590368170961744,1,0.147476919613182,5325,4,2,6,2,6,6,6,7,1,6,4,6,2,6,2,4,1,2,NA,4,4,0.333333333333333,0.5,1,1,1,4,3,3,4,NA,6,5,6.5,4,1.5,3.5,0.766666666666667
"74","Alabama",449.9,2012,"AL","AL",0.308719390181258,0.0998437250550335,11.1786547432945,0.189625700396305,0.4726,0.590368170961744,1,0.147476919613182,5417,2,5,5,5,5,3,3,5,6,5,6,4,3,3,3,2,2,2,1,2,2,NA,0.75,0,0,0,2,4,1,4,NA,5,2.5,5,4.5,5.5,2.75,0.1875
"75","Alaska",603.2,2012,"AK","AK",0.334812133176749,0.0783092091462135,9.14144083395601,0.101172709080949,0.4232,0.66019787928153,0,0.15945672196361,2165,7,6,7,3,4,6,2,7,2,6,1,5,1,5,4,7,1,2,24,2,5,0.5,0.5,1,1,1,4,3,4,3,NA,5,6.5,7,5.5,2.5,3.5,0.8
"76","Alaska",603.2,2012,"AK","AK",0.334812133176749,0.0783092091462135,9.14144083395601,0.101172709080949,0.4232,0.66019787928153,0,0.15945672196361,2975,2,6,7,2,6,6,2,7,4,5,6,6,1,6,2,12,1,2,14,3,4,0.666666666666667,0.5,1,0,1,3,5,2,5,NA,5.5,4,7,6,3,3.75,0.633333333333333
"77","Alaska",603.2,2012,"AK","AK",0.334812133176749,0.0783092091462135,9.14144083395601,0.101172709080949,0.4232,0.66019787928153,0,0.15945672196361,3871,4,4,4,4,5,4,4,4,4,3,4,3,4,4,3,13,1,1,NA,1,6,NA,0.5,1,1,1,4,4,3,5,1,4,4,4,3.5,4,4,0.875
